T file kT1 TDD TDD1 TDD11 TDD111 d N_B
320 001_320 36.232 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.500E-4 3.162E+16
320 002_320 36.232 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.500E-4 3.162E+16
320 003_320 36.232 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.500E-4 3.162E+16
320 004_320 36.232 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.500E-4 3.162E+16
320 005_320 36.232 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.500E-4 3.162E+16
320 006_320 36.232 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.500E-4 3.162E+16
320 007_320 36.232 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.500E-4 3.162E+16
320 008_320 36.232 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.500E-4 3.162E+16
320 009_320 36.232 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.500E-4 3.162E+16
320 010_320 36.232 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.500E-4 3.162E+16
320 011_320 36.232 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.500E-4 3.162E+16
320 012_320 36.232 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 1.500E-4 3.162E+16
320 013_320 36.232 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 1.500E-4 3.162E+16
320 014_320 36.232 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 1.500E-4 3.162E+16
320 015_320 36.232 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 1.500E-4 3.162E+16
320 016_320 36.232 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 1.500E-4 3.162E+16
320 017_320 36.232 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 1.500E-4 3.162E+16
320 018_320 36.232 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 1.500E-4 3.162E+16
320 019_320 36.232 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 1.500E-4 3.162E+16
330 001_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 002_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 003_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 004_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 005_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 006_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 007_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 008_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 009_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 010_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 011_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 012_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 013_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 014_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 015_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 016_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 017_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 018_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
330 019_330 35.134 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.500E-4 3.162E+16
