T file kT1 TDD TDD1 d N_B
290 001_290 39.98 1.000000E+10 1.000000E+10 2.400E-4 1.000E+15
290 002_290 39.98 1.468000E+10 1.468000E+10 2.400E-4 1.000E+15
290 003_290 39.98 2.154000E+10 2.154000E+10 2.400E-4 1.000E+15
290 004_290 39.98 3.162000E+10 3.162000E+10 2.400E-4 1.000E+15
290 005_290 39.98 4.642000E+10 4.642000E+10 2.400E-4 1.000E+15
290 006_290 39.98 6.813000E+10 6.813000E+10 2.400E-4 1.000E+15
290 007_290 39.98 1.000000E+11 1.000000E+11 2.400E-4 1.000E+15
290 008_290 39.98 1.468000E+11 1.468000E+11 2.400E-4 1.000E+15
290 009_290 39.98 2.154000E+11 2.154000E+11 2.400E-4 1.000E+15
290 010_290 39.98 3.162000E+11 3.162000E+11 2.400E-4 1.000E+15
290 011_290 39.98 4.642000E+11 4.642000E+11 2.400E-4 1.000E+15
290 012_290 39.98 6.813000E+11 6.813000E+11 2.400E-4 1.000E+15
290 013_290 39.98 1.000000E+12 1.000000E+12 2.400E-4 1.000E+15
290 014_290 39.98 1.468000E+12 1.468000E+12 2.400E-4 1.000E+15
290 015_290 39.98 2.154000E+12 2.154000E+12 2.400E-4 1.000E+15
290 016_290 39.98 3.162000E+12 3.162000E+12 2.400E-4 1.000E+15
290 017_290 39.98 4.642000E+12 4.642000E+12 2.400E-4 1.000E+15
290 018_290 39.98 6.813000E+12 6.813000E+12 2.400E-4 1.000E+15
290 019_290 39.98 1.000000E+13 1.000000E+13 2.400E-4 1.000E+15
