T file kT1 TDD TDD1 TDD11 TDD111 d N_B
330 001_330 35.134 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 2.400E-4 3.162E+15
330 002_330 35.134 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 2.400E-4 3.162E+15
330 003_330 35.134 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 2.400E-4 3.162E+15
330 004_330 35.134 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 2.400E-4 3.162E+15
330 005_330 35.134 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 2.400E-4 3.162E+15
330 006_330 35.134 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 2.400E-4 3.162E+15
330 007_330 35.134 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 2.400E-4 3.162E+15
330 008_330 35.134 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 2.400E-4 3.162E+15
330 009_330 35.134 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 2.400E-4 3.162E+15
330 010_330 35.134 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 2.400E-4 3.162E+15
330 011_330 35.134 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 2.400E-4 3.162E+15
330 012_330 35.134 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 2.400E-4 3.162E+15
330 013_330 35.134 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 2.400E-4 3.162E+15
330 014_330 35.134 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 2.400E-4 3.162E+15
330 015_330 35.134 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 2.400E-4 3.162E+15
330 016_330 35.134 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 2.400E-4 3.162E+15
330 017_330 35.134 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 2.400E-4 3.162E+15
330 018_330 35.134 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 2.400E-4 3.162E+15
330 019_330 35.134 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 2.400E-4 3.162E+15
